"上げる","あげる","表示动作的彻底完成，强调最终成果的产出。","動詞のマス形＋上げる","やっとレポートをかきあげた。","やっとレポートを書き上げた。","终于写完了报告。","ひとばんでセーターをあみあげた。","一晩でセーターを編み上げた。","用一个晚上织好了毛衣。"
"割に","わりに","表示从某个基准来看，结果超出预想，即基准与结果存在差距，意为“比起...算是...”。","名詞＋の/普通形＋割に","このおかしはねだんのわりに、おいしい。","このお菓子は値段の割に、美味しい。","这个点心和价格比起来算是很好吃了。","かれはとしのわりにはわかくみえる。","彼は年の割には若く見える。","和他年龄比起来，他显得很年轻。"
"わざと","わざと","表示某个行为是“有意识地、故意地”做出的，而非偶然。","副詞として文中で使う","かれはわざとまけたにちがいない。","彼はわざと負けたに違いない。","他肯定是故意输的。","かのじょはわたしをこまらせるために、わざとへんなしつもんをした。","彼女は私を困らせるために、わざと変な質問をした。","她为了让我为难，故意问了奇怪的问题。"
"わざわざ","わざわざ","表示“特意地、特地”为某事花费时间和精力，常伴有感谢或过意不去的感情。","副詞として文中で使う","わざわざきてくれて、ありがとう。","わざわざ来てくれて、ありがとう。","谢谢你特地过来。","わざわざおみやげをかわなくてもよかったのに。","わざわざお土産を買わなくてもよかったのに。","其实不必特意买土特产的。"
"よりも","よりも","是最基本的比较表达，用于比较两个事物，并指出一方的程度更高。","名詞＋よりも","じっせんは理論よりもじゅうようだ。","実践は理論よりも重要だ。","实践比理论更重要。","ことばでせつめいするよりも、えをかいたほうがわかりやすい。","言葉で説明するよりも、絵を描いたほうが分かりやすい。","比起用语言说明，画图更容易理解。"
"ようがない","ようがない","表示即使想做，但因为完全没有方法或手段而无法实现。","動詞のマス形＋ようがない","てがみのじゅうしょがまちがっていて、へんじをだしようがない。","手紙の住所が間違っていて、返事を出しようがない。","信上的地址是错的，没法回信。","ここまでこわれると、なおしようがない。","ここまで壊れると、直しよがない。","坏到这个地步，没法修了。"
"ように","ように","有多种意思：1.表目的（为了...）；2.表比喻（像...一样）；3.表例举（如...之类的）。","動詞の辞書形/ない形＋ように（目的）；名詞＋の/動詞の普通形＋ように（比喻・例示）","にほんごがじょうずになるように、まいにちべんきょうしています。","日本語が上手になるように、毎日勉強しています。","为了能让日语变好，我每天都在学习。","ゆきのようにしろいはだ。","雪のように白い肌。","像雪一样白的肌肤。"
"ように見える","ようにみえる","表示基于视觉信息的主观推测，意为“看起来像是...”。","普通形＋ように見える","かのじょはとてもつかれているようにみえる。","彼女はとても疲れているように見える。","她看起来很累的样子。","そとはあめがふっているようにみえる。","外は雨が降っているように見える。","外面看起来像是在下雨。"
"ようとしない","ようとしない","用于带有责备语气地表示“完全没有...的意愿”，多用于第三人称。","動詞の意志形＋としない","かれはじぶんのまちがいをみとめようとしない。","彼は自分の間違いを認めようとしない。","他不想承认自己的错误。","いくらちゅういしても、かれははなしをきこうとしない。","いくら注意しても、彼は話を聞こうとしない。","无论怎么提醒，他都听不进话。"
"ようとする","ようとする","表示动作开始前的瞬间，意为“正要做...”；也表示“尝试去做...”。","動詞の意志形＋とする","でんしゃにのろうとしたとき、ドアがしまった。","電車に乗ろうとした時、ドアが閉まった。","正要上电车的时候，门关上了。","こどもが、どうしてもやさいをたべようとしない。","子供が、どうしても野菜を食べようとしない。","孩子怎么也不肯吃蔬菜。"
"ずに","ずに","是「～ないで」的书面化表达，表示“不...就...”。","動詞のナイ形（「ない」を取る）＋ずに　（「する」は「せずに」）","かさをもたずにでかけて、あめにふられた。","傘を持たずに出かけて、雨に降られた。","没带伞就出门了，结果被雨淋了。","きのうはねずに、しごとをした。","昨日は寝ずに、仕事をした。","昨天没睡觉，一直在工作。"
"ずにはいられない","ずにはいられない","表示感情上无法抑制，无论如何都会做出某事，意为“情不自禁地...”。","動詞のナイ形（「ない」を取る）＋ずにはいられない　（「する」は「せずにはいられない」）","かれのかわいそうなはなしをきいて、なかずにはいられなかった。","彼の可哀そうな話を聞いて、泣かずにはいられなかった。","听了他的可怜故事，我情不自禁地哭了。","あのきょくをきくと、からだがうごかずにはいられない。","あの曲を聴くと、体が動かずにはいられない。","一听到那首曲子，身体就情不自禁地动起来。"
"ずつ","ずつ","表示将相同的量分配给每一份，意为“各...、每...”。","数詞/数量を表す名詞＋ずつ","ひとりさんにまいずつくばってください。","一人に3枚ずつ配ってください。","请分给每人各3张。","このかんじを、まいにちいつつずつおぼえましょう。","この漢字を、毎日五つずつ覚えましょう。","这些汉字，每天记五个吧。"
